match_id,player_name,team_name,x_coord,y_coord,xg,outcome
,Francesca Kirby,Chelsea FCW,115.0,25.0,0.018856188,Blocked
,Francesca Kirby,Chelsea FCW,109.0,51.0,0.041846413,Blocked
,So-Yun Ji,Chelsea FCW,99.0,52.0,0.026682008,Blocked
,Drew Spence,Chelsea FCW,107.0,40.0,0.106219485,Blocked
,Millie Bright,Chelsea FCW,108.0,32.0,0.082253404,Goal
,Francesca Kirby,Chelsea FCW,108.0,32.0,0.11862602,Blocked
,Maren NÃ¦vdal Mjelde,Chelsea FCW,87.0,41.0,0.025282087,Off T
,So-Yun Ji,Chelsea FCW,108.0,36.0,0.122101225,Goal
,Francesca Kirby,Chelsea FCW,105.0,43.0,0.11130494,Saved
,Nikita Parris,Manchester City WFC,117.0,53.0,0.015437505,Saved
,Jill Scott,Manchester City WFC,102.0,50.0,0.05569606,Blocked
,Francesca Kirby,Chelsea FCW,112.0,39.0,0.115364544,Blocked
,Ramona Bachmann,Chelsea FCW,115.0,54.0,0.025684146,Saved
,So-Yun Ji,Chelsea FCW,102.0,34.0,0.07206662,Blocked
,Francesca Kirby,Chelsea FCW,108.0,47.0,0.10620265,Off T
,Drew Spence,Chelsea FCW,94.0,54.0,0.024526225,Off T
,Ramona Bachmann,Chelsea FCW,108.0,27.0,0.058761407,Blocked
,Ramona Bachmann,Chelsea FCW,114.0,34.0,0.31122506,Saved
,Nikita Parris,Manchester City WFC,115.0,41.0,0.25981876,Goal
,Francesca Kirby,Chelsea FCW,109.0,39.0,0.10323378,Blocked
,Ramona Bachmann,Chelsea FCW,117.0,31.0,0.13266921,Off T
,Ramona Bachmann,Chelsea FCW,91.0,52.0,0.035133634,Saved
,Millie Bright,Chelsea FCW,118.0,39.0,0.2916144,Off T
,Jennifer Patricia Beattie,Manchester City WFC,108.0,35.0,0.053667918,Wayward
,Crystal Alyssia Dunn Soubrier,Chelsea FCW,111.0,32.0,0.16594568,Off T
,Georgia Stanway,Manchester City WFC,88.0,34.0,0.026774483,Saved
,Nikita Parris,Manchester City WFC,113.0,42.0,0.5121269,Off T
,Erin Cuthbert,Chelsea FCW,107.0,47.0,0.18030268,Saved
,Crystal Alyssia Dunn Soubrier,Chelsea FCW,110.0,36.0,0.48266536,Off T
,Georgia Stanway,Manchester City WFC,98.0,46.0,0.044294372,Goal
,Ramona Bachmann,Chelsea FCW,113.0,42.0,0.14531294,Blocked
,Erin Cuthbert,Chelsea FCW,109.0,52.0,0.069088206,Blocked
,Georgia Stanway,Manchester City WFC,102.0,35.0,0.07796062,Saved
,Jennifer Patricia Beattie,Manchester City WFC,109.0,37.0,0.061737683,Off T
